년/월/일,종가,대비,거래량(주),거래대금(원),시가,고가,저가,시가총액(백만),상장주식수(주)
2020/06/18,"52,300",100,"15,982,926","830,793,475,311","52,200","52,300","51,600","312,219,627","5,969,782,550"
2020/06/17,"52,200",100,"26,672,595","1,390,772,012,000","52,100","52,900","51,300","311,622,649","5,969,782,550"
2020/06/16,"52,100","2,200","21,808,375","1,124,878,770,600","51,200","52,100","50,600","311,025,671","5,969,782,550"
2020/06/15,"49,900","-2,400","28,772,921","1,468,000,064,800","51,400","52,000","49,900","297,892,149","5,969,782,550"
2020/06/12,"52,300","-2,000","26,976,019","1,410,310,719,795","52,100","52,800","51,500","312,219,627","5,969,782,550"
2020/06/11,"54,300","-1,100","33,815,123","1,832,273,837,760","54,500","55,100","53,200","324,159,192","5,969,782,550"
2020/06/10,"55,400",-100,"16,742,493","927,393,114,690","55,100","55,900","54,900","330,725,953","5,969,782,550"
2020/06/09,"55,500",600,"23,998,831","1,326,558,066,100","55,800","56,500","54,400","331,322,932","5,969,782,550"
2020/06/08,"54,900",-600,"25,634,965","1,418,831,067,805","56,400","56,500","54,700","327,741,062","5,969,782,550"
2020/06/05,"55,500",900,"22,743,629","1,254,429,842,650","54,400","55,900","54,000","331,322,932","5,969,782,550"
2020/06/04,"54,600",100,"40,220,334","2,236,419,728,472","55,800","57,000","54,600","325,950,127","5,969,782,550"
2020/06/03,"54,500","3,100","49,257,814","2,655,435,431,458","51,800","55,000","51,700","325,353,149","5,969,782,550"
2020/06/02,"51,400",200,"14,247,933","730,124,279,860","51,000","51,500","50,800","306,846,823","5,969,782,550"
2020/06/01,"51,200",500,"16,949,183","864,647,248,100","50,800","51,200","50,600","305,652,867","5,969,782,550"
2020/05/29,"50,700",300,"27,596,961","1,390,445,842,147","50,000","50,700","49,700","302,667,975","5,969,782,550"
2020/05/28,"50,400",500,"31,309,318","1,585,346,422,778","51,100","51,200","49,900","300,877,041","5,969,782,550"
2020/05/27,"49,900",650,"19,548,479","969,951,903,266","48,950","50,000","48,800","297,892,149","5,969,782,550"
2020/05/26,"49,250",400,"15,127,490","742,843,644,150","48,700","49,450","48,600","294,011,791","5,969,782,550"
2020/05/25,"48,850",100,"14,337,913","698,563,353,200","48,750","48,900","48,450","291,623,878","5,969,782,550"
2020/05/22,"48,750","-1,200","19,706,284","965,729,655,667","49,600","49,800","48,600","291,026,899","5,969,782,550"
2020/05/21,"49,950",-50,"14,949,266","748,343,432,800","50,300","50,400","49,850","298,190,638","5,969,782,550"
2020/05/20,"50,000",-300,"14,896,899","744,469,755,655","50,000","50,200","49,800","298,489,128","5,969,782,550"
2020/05/19,"50,300","1,500","25,168,295","1,261,317,730,005","50,100","50,500","49,700","300,280,062","5,969,782,550"
2020/05/18,"48,800",950,"20,481,981","995,409,039,450","47,950","49,100","47,600","291,325,388","5,969,782,550"
