종목코드,종목명,현재가,대비,등락률,거래량,거래대금,시가,고가,저가,시가총액,시가총액비중(%),상장주식수,외국인 보유주식수,외국인 지분율(%)
005930,삼성전자,"52,300",100,0.2,"15,982,926","830,793,475,311","52,200","52,300","51,600","312,219,627,365,000",18.23,"5,969,782,550","3,286,829,576",55.06
000660,SK하이닉스,"86,200",-600,-0.7,"2,484,147","214,033,924,700","86,100","86,800","85,400","62,753,803,863,000",3.66,"728,002,365","350,756,884",48.18
207940,삼성바이오로직스,"810,000","-14,000",-1.7,"189,462","154,228,002,000","824,000","831,000","807,000","53,593,650,000,000",3.13,"66,165,000","7,195,072",10.87
035420,NAVER,"247,500","-3,500",-1.4,"744,330","185,524,270,000","251,500","254,000","247,000","40,655,190,262,500",2.37,"164,263,395","92,741,017",56.46
068270,셀트리온,"287,500","-2,000",-0.7,"784,181","227,261,002,500","290,500","294,500","286,000","38,795,073,187,500",2.27,"134,939,385","28,451,257",21.08
005935,삼성전자우,"45,900",0,0.0,"1,436,184","65,992,189,550","46,100","46,350","45,750","37,770,499,530,000",2.21,"822,886,700","724,484,064",88.04
051910,LG화학,"491,000",-500,-0.1,"509,457","249,318,472,500","491,500","494,500","481,500","34,660,840,413,000",2.02,"70,592,343","26,156,912",37.05
006400,삼성SDI,"377,000","-7,500",-2.0,"549,428","207,730,201,500","384,000","384,500","374,500","25,924,227,810,000",1.51,"68,764,530","28,969,526",42.13
035720,카카오,"263,500",500,0.2,"981,144","258,977,906,000","264,500","267,000","260,500","23,049,233,522,000",1.35,"87,473,372","29,005,682",33.16
028260,삼성물산,"121,500",-500,-0.4,"657,356","79,456,157,500","121,000","123,000","119,000","22,706,780,341,500",1.33,"186,887,081","26,577,785",14.22
034730,SK,"308,500","-9,500",-3.0,"893,966","278,222,641,500","318,000","320,500","305,000","21,706,151,624,500",1.27,"70,360,297","15,152,074",21.53
005380,현대차,"100,000",-500,-0.5,"1,155,455","115,783,313,300","99,100","102,000","98,400","21,366,818,700,000",1.25,"213,668,187","72,561,628",33.96
051900,LG생활건강,"1,274,000","-14,000",-1.1,"38,772","49,612,982,000","1,280,000","1,288,000","1,274,000","19,897,582,978,000",1.16,"15,618,197","6,844,643",43.82
036570,엔씨소프트,"832,000","-34,000",-3.9,"115,343","97,133,584,500","857,000","863,000","832,000","18,265,746,304,000",1.07,"21,954,022","11,390,353",51.88
012330,현대모비스,"188,000","-2,000",-1.0,"282,466","53,496,742,000","187,500","193,000","185,500","17,870,282,472,000",1.04,"95,054,694","43,453,295",45.71
017670,SK텔레콤,"205,500","-1,500",-0.7,"260,278","53,513,195,500","205,500","208,000","204,000","16,593,243,610,500",0.97,"80,745,711","28,935,657",35.84
005490,POSCO,"186,500",-500,-0.3,"205,015","38,222,375,500","185,000","188,500","183,000","16,260,344,727,500",0.95,"87,186,835","44,337,581",50.85
091990,셀트리온헬스케어,"105,400","-1,200",-1.1,"1,497,169","158,742,780,800","106,900","107,600","105,100","15,958,227,392,800",0.93,"151,406,332","29,584,306",19.54
055550,신한지주,"30,750",-250,-0.8,"2,559,738","78,607,806,900","30,250","31,150","30,200","14,679,952,676,250",0.86,"477,396,835","300,415,240",62.93
105560,KB금융,"35,250",250,0.7,"2,556,965","89,909,576,100","34,400","35,650","34,350","14,657,229,180,000",0.86,"415,807,920","267,796,970",64.4
